Wire length data points,,Min Fitness ,Ave Fitness,Max Fitness
142.9254581,,,,
135.7915663,,,,
148.8021557,,,,
93.06549214,,,,
143.6104272,,,,
144.9017385,,,,
128.3904365,,,,
138.2372909,,,,
126.6379593,,,,
83.39313533,,,,
154.0718972,,,,
133.1486876,,,,
124.2142268,,,,
134.7735107,,,,
154.2946891,,,,
150.6680046,,,,
107.0590669,,,,
93.98204321,,,,
104.8543067,,,,
137.1490937,,,,
137.9444512,,,,
142.3015626,,,,
131.564079,,,,
123.7758954,,,,
131.8435167,,,,
115.4927756,,,,
103.6650219,,,,
102.4427297,,,,
107.8877658,,,,
147.9500053,,,,
152.8281636,,,,
153.5801525,,,,
129.4963345,,,,
146.3760254,,,,
119.9914404,,,,
130.7634997,,,,
133.9885835,,,,
151.2073279,,,,
187.2199561,,,,
101.9814612,,,,
136.5933873,,,,
155.7134715,,,,
136.5438844,,,,
138.1770285,,,,
199.4003949,,,,
161.8542042,,,,
115.0914708,,,,
83.96773085,,,,
104.2362553,,,,
122.4732103,,,,
130.8521691,,,,
115.0545374,,,,
150.2649964,,,,
149.3721556,,,,
106.6528162,,,,
142.8577029,,,,
148.4877754,,,,
155.6994867,,,,
124.8590305,,,,
155.5109337,,,,
131.5419858,,,,
103.2534056,,,,
189.814423,,,,
134.2302236,,,,
127.6418755,,,,
140.7336289,,,,
144.560605,,,,
99.28418634,,,,
165.6986125,,,,
118.9585967,,,,
187.2657972,,,,
97.65782514,,,,
140.0593713,,,,
129.5996982,,,,
146.9905895,,,,
112.183722,,,,
156.3258431,,,,
126.4115814,,,,
111.3524484,,,,
126.1921818,,,,
131.3358355,,,,
104.9198277,,,,
136.2782898,,,,
170.9631587,,,,
166.6625012,,,,
126.8023917,,,,
159.0998439,,,,
129.9989518,,,,
116.1182897,,,,
139.3409073,,,,
129.6131627,,,,
84.87870153,,,,
151.044263,,,,
108.4809825,,,,
94.93149108,,,,
125.2016758,,,,
123.8629768,,,,
82.74577274,,,,
168.7801994,,,,
149.6027948,,,,
119.1221037,,,,
131.2063508,,,,
128.2061964,,,,
135.5063149,,,,
121.7126601,,,,
99.12550294,,,,
96.40140135,,,,
163.8924037,,,,
114.2749166,,,,
152.141137,,,,
146.1288161,,,,
108.0694047,,,,
115.6593129,,,,
116.7607864,,,,
99.0529618,,,,
125.2011241,,,,
92.75085959,,,,
117.4600871,,,,
122.3644374,,,,
122.4429467,,,,
112.0569941,,,,
136.1195561,,,,
125.0962084,,,,
112.3491931,,,,
130.8447791,,,,
146.4206005,,,,
166.0985606,,,,
137.2946671,,,,
104.0165831,,,,
178.006431,,,,
179.9938937,,,,
134.1954895,,,,
98.15143602,,,,
136.094313,,,,
132.9004714,,,,
157.2561214,,,,
138.1968925,,,,
120.5422941,,,,
113.7789703,,,,
144.498589,,,,
111.4347093,,,,
125.6840555,,,,
106.5939186,,,,
158.1543507,,,,
140.0814918,,,,
131.7878279,,,,
110.457048,,,,
99.62315901,,,,
120.3615891,,,,
147.8763088,,,,
155.549538,,,,
109.9561393,,,,
123.0714897,,,,
166.276406,,,,
143.1531514,,,,
150.0811452,,,,
90.783718,,,,
111.82605,,,,
112.253688,,,,
126.9473644,,,,
142.8067082,,,,
127.2150766,,,,
109.9245743,,,,
136.4285561,,,,
174.7426888,,,,
165.5378384,,,,
103.1705974,,,,
96.49779863,,,,
129.3725865,,,,
143.4409086,,,,
142.734005,,,,
118.091253,,,,
158.6825179,,,,
95.55422259,,,,
138.7097282,,,,
143.1724594,,,,
191.0232872,,,,
148.4434808,,,,
109.2868387,,,,
160.7008125,,,,
124.470917,,,,
162.3679173,,,,
137.3072874,,,,
